,game_id,datetime,away,home,away_score,home_score,venue,hp_umpire
0,565895,2019-03-28,nym,wsh,2,0,Nationals Park,Bill Miller
1,567456,2019-03-28,bal,nyy,2,7,Yankee Stadium,Fieldin Culbreth
2,567552,2019-03-28,stl,mil,4,5,Miller Park,Gary Cederstrom
3,567059,2019-03-28,atl,phi,4,10,Citizens Bank Park,Mike Winters
4,566864,2019-03-28,det,tor,2,0,Rogers Centre,Dana DeMuth
5,566664,2019-03-28,hou,tb,5,1,Tropicana Field,Sam Holbrook
6,566763,2019-03-28,chc,tex,12,4,Globe Life Park in Arlington,Jeff Kellogg
7,566086,2019-03-28,laa,oak,0,4,Oakland Coliseum,Mike Everitt
8,565799,2019-03-28,ari,lad,5,12,Dodger Stadium,Brian Gorman
9,565220,2019-03-28,pit,cin,3,5,Great American Ball Park,Joe West
10,566275,2019-03-28,sf,sd,0,2,Petco Park,Ted Barrett
11,566962,2019-03-28,cle,min,0,2,Target Field,Tom Hallion
12,567359,2019-03-28,col,mia,6,3,Marlins Park,Gerry Davis
13,565702,2019-03-28,cws,kc,3,5,Kauffman Stadium,Jerry Meals
14,566372,2019-03-28,bos,sea,4,12,T-Mobile Park,Larry Vanover
15,566865,2019-03-29,det,tor,0,6,Rogers Centre,Angel Hernandez
16,566665,2019-03-29,hou,tb,2,4,Tropicana Field,Dan Iassogna
17,567360,2019-03-29,col,mia,6,1,Marlins Park,Greg Gibson
18,567553,2019-03-29,stl,mil,9,5,Miller Park,Marvin Hudson
19,566087,2019-03-29,laa,oak,6,2,Oakland Coliseum,Bill Welke
20,565800,2019-03-29,ari,lad,5,4,Dodger Stadium,Scott Barry
21,566373,2019-03-29,bos,sea,7,6,T-Mobile Park,Alfonso Marquez
22,566276,2019-03-29,sf,sd,1,4,Petco Park,Lance Barksdale
23,565896,2019-03-30,nym,wsh,11,8,Nationals Park,Doug Eddings
24,567457,2019-03-30,bal,nyy,5,3,Yankee Stadium,Paul Nauert
25,566963,2019-03-30,cle,min,2,1,Target Field,Phil Cuzzi
26,565703,2019-03-30,cws,kc,6,8,Kauffman Stadium,Ron Kulpa
27,566866,2019-03-30,det,tor,0,3,Rogers Centre,Ed Hickox
28,567060,2019-03-30,atl,phi,6,8,Citizens Bank Park,Tim Timmons
29,566666,2019-03-30,hou,tb,1,3,Tropicana Field,Jim Wolf
30,567361,2019-03-30,col,mia,3,7,Marlins Park,Brian Knight
31,567554,2019-03-30,stl,mil,2,4,Miller Park,Adrian Johnson
32,566764,2019-03-30,chc,tex,6,8,Globe Life Park in Arlington,Brian O'Nora
33,566277,2019-03-30,sf,sd,3,2,Petco Park,John Tumpane
34,566088,2019-03-30,laa,oak,2,4,Oakland Coliseum,Chris Guccione
35,565801,2019-03-30,ari,lad,5,18,Dodger Stadium,Tripp Gibson
36,566374,2019-03-30,bos,sea,5,6,T-Mobile Park,Dan Bellino
37,565221,2019-03-30,pit,cin,1,8,Great American Ball Park,Jansen Visconti
38,567458,2019-03-31,bal,nyy,7,5,Yankee Stadium,CB Bucknor
39,566867,2019-03-31,det,tor,4,3,Rogers Centre,Chad Whitson
40,565222,2019-03-31,pit,cin,5,0,Great American Ball Park,Eric Cooper
41,566667,2019-03-31,hou,tb,1,3,Tropicana Field,Manny Gonzalez
42,567362,2019-03-31,col,mia,0,3,Marlins Park,Pat Hoberg
43,565897,2019-03-31,nym,wsh,5,6,Nationals Park,Carlos Torres
44,566964,2019-03-31,cle,min,3,9,Target Field,Todd Tichenor
45,567555,2019-03-31,stl,mil,4,5,Miller Park,Quinn Wolcott
46,565704,2019-03-31,cws,kc,6,3,Kauffman Stadium,Marty Foster
47,566765,2019-03-31,chc,tex,10,11,Globe Life Park in Arlington,James Hoye
48,566089,2019-03-31,laa,oak,1,2,Oakland Coliseum,Lance Barrett
49,565802,2019-03-31,ari,lad,7,8,Dodger Stadium,Nic Lentz
